Accession,replacedaccession,IDs,Country,Host,Year
KY680399.1_USA,KY680399.1_USA,KY680399.1,USA,Homo_sapiens,2014
KY680400.1_USA,KY680400.1_USA,KY680400.1,USA,Homo_sapiens,2014
KY680401.1_USA,KY680401.1_USA,KY680401.1,USA,Homo_sapiens,2014
KY680402.1_USA,KY680402.1_USA,KY680402.1,USA,Homo_sapiens,2014
KY680403.1_USA,KY680403.1_USA,KY680403.1,USA,Homo_sapiens,2014
KY680404.1_USA,KY680404.1_USA,KY680404.1,USA,Homo_sapiens,2014
KY680405.1_USA,KY680405.1_USA,KY680405.1,USA,Homo_sapiens,2014
KY680406.1_USA,KY680406.1_USA,KY680406.1,USA,Homo_sapiens,2014
KY680407.1_USA,KY680407.1_USA,KY680407.1,USA,Homo_sapiens,2014
KY680408.1_USA,KY680408.1_USA,KY680408.1,USA,Homo_sapiens,2014
KY680409.1_USA,KY680409.1_USA,KY680409.1,USA,Homo_sapiens,2014
KY680410.1_USA,KY680410.1_USA,KY680410.1,USA,Homo_sapiens,2014
KY680411.1_USA,KY680411.1_USA,KY680411.1,USA,Homo_sapiens,2014
KY680412.1_USA,KY680412.1_USA,KY680412.1,USA,Homo_sapiens,2014
KY680413.1_USA,KY680413.1_USA,KY680413.1,USA,Homo_sapiens,2014
KY680414.1_USA,KY680414.1_USA,KY680414.1,USA,Homo_sapiens,2014
KY703888.1_Nicaragua,KY703888.1_Nicaragua,KY703888.1,Nicaragua,Homo_sapiens,2015
KY703889.1_Nicaragua,KY703889.1_Nicaragua,KY703889.1,Nicaragua,Homo_sapiens,2015
KY703890.1_Nicaragua,KY703890.1_Nicaragua,KY703890.1,Nicaragua,Homo_sapiens,2015
KY703891.1_Nicaragua,KY703891.1_Nicaragua,KY703891.1,Nicaragua,Homo_sapiens,2015
KY703892.1_Nicaragua,KY703892.1_Nicaragua,KY703892.1,Nicaragua,Homo_sapiens,2015
KY703893.1_Nicaragua,KY703893.1_Nicaragua,KY703893.1,Nicaragua,Homo_sapiens,2015
KY703894.1_Nicaragua,KY703894.1_Nicaragua,KY703894.1,Nicaragua,Homo_sapiens,2015
KY703895.1_Nicaragua,KY703895.1_Nicaragua,KY703895.1,Nicaragua,Homo_sapiens,2015
KY703896.1_Nicaragua,KY703896.1_Nicaragua,KY703896.1,Nicaragua,Homo_sapiens,2014
KY703897.1_Nicaragua,KY703897.1_Nicaragua,KY703897.1,Nicaragua,Homo_sapiens,2015
KY703898.1_Nicaragua,KY703898.1_Nicaragua,KY703898.1,Nicaragua,Homo_sapiens,2015
KY703899.1_Nicaragua,KY703899.1_Nicaragua,KY703899.1,Nicaragua,Homo_sapiens,2015
KY703900.1_Nicaragua,KY703900.1_Nicaragua,KY703900.1,Nicaragua,Homo_sapiens,2015
KY703901.1_Nicaragua,KY703901.1_Nicaragua,KY703901.1,Nicaragua,Homo_sapiens,2015
KY703902.1_Nicaragua,KY703902.1_Nicaragua,KY703902.1,Nicaragua,Homo_sapiens,2015
KY703903.1_Nicaragua,KY703903.1_Nicaragua,KY703903.1,Nicaragua,Homo_sapiens,2015
KY703904.1_Nicaragua,KY703904.1_Nicaragua,KY703904.1,Nicaragua,Homo_sapiens,2014
KY703905.1_Nicaragua,KY703905.1_Nicaragua,KY703905.1,Nicaragua,Homo_sapiens,2015
KY703906.1_Nicaragua,KY703906.1_Nicaragua,KY703906.1,Nicaragua,Homo_sapiens,2015
KY703907.1_Nicaragua,KY703907.1_Nicaragua,KY703907.1,Nicaragua,Homo_sapiens,2015
KY703908.1_Nicaragua,KY703908.1_Nicaragua,KY703908.1,Nicaragua,Homo_sapiens,2014
KY703909.1_Nicaragua,KY703909.1_Nicaragua,KY703909.1,Nicaragua,Homo_sapiens,2015
KY703910.1_Nicaragua,KY703910.1_Nicaragua,KY703910.1,Nicaragua,Homo_sapiens,2015
KY703911.1_Nicaragua,KY703911.1_Nicaragua,KY703911.1,Nicaragua,Homo_sapiens,2015
KY703913.1_Nicaragua,KY703913.1_Nicaragua,KY703913.1,Nicaragua,Homo_sapiens,2015
KY703914.1_Nicaragua,KY703914.1_Nicaragua,KY703914.1,Nicaragua,Homo_sapiens,2015
KY703915.1_Nicaragua,KY703915.1_Nicaragua,KY703915.1,Nicaragua,Homo_sapiens,2015
KY703916.1_Nicaragua,KY703916.1_Nicaragua,KY703916.1,Nicaragua,Homo_sapiens,2015
KY703917.1_Nicaragua,KY703917.1_Nicaragua,KY703917.1,Nicaragua,Homo_sapiens,2016
KY703918.1_Nicaragua,KY703918.1_Nicaragua,KY703918.1,Nicaragua,Homo_sapiens,2015
KY703919.1_Nicaragua,KY703919.1_Nicaragua,KY703919.1,Nicaragua,Homo_sapiens,2015
KY703920.1_Nicaragua,KY703920.1_Nicaragua,KY703920.1,Nicaragua,Homo_sapiens,2015
KY703921.1_Nicaragua,KY703921.1_Nicaragua,KY703921.1,Nicaragua,Homo_sapiens,2015
